,Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
0,2022,1,1533240,6073426,2219533,545814,251996,10624009
1,2021,4,1657615,5984240,2072236,523107,252596,10489794
2,2021,3,1950631,5826257,1566048,492415,250190,10085541
3,2021,2,2018587,5641731,1472246,476968,253552,9863084
4,2021,1,2175211,5424782,1362976,434548,250455,9647972
5,2020,4,2213949,5371824,1311199,421554,253036,9571562
6,2020,3,2263889,5259351,1170879,413259,248821,9356199
7,2020,2,2295533,5005115,1106725,376667,247016,9031056
8,2020,1,2299457,4903674,1047817,352333,209145,8812426
9,2019,4,2414575,4883869,941295,340144,213298,8793181
10,2019,3,2909805,4800091,852221,338241,264326,9164684
11,2019,2,2990457,4635575,760794,308027,265328,8960181
12,2019,1,3132789,4435439,637099,276419,166389,8648135
13,2018,4,3329027,4313831,388013,264299,178485,8473655
14,2018,3,3521447,4238171,247366,246181,93870,8347035
15,2018,2,3557216,4038141,226285,194267,94535,8110444
16,2018,1,3574294,3981129,217460,165300,98870,8037053
17,2017,4,3584311,3818157,211425,155775,100554,7870222
18,2017,3,3622575,3670221,193964,106443,131740,7724943
19,2017,2,3723518,3383434,180777,85813,56122,7429664
20,2017,1,3708898,3276251,180146,84813,55746,7305854
21,2016,4,3722794,3210602,178070,85119,55088,7251673
22,2016,3,3776442,3124855,169898,81455,54300,7206950
23,2016,2,3782085,3035272,167788,85452,59482,7130079
24,2016,1,3792493,2806359,164371,85370,58763,6907356
25,2015,4,3803024,2898226,139187,85726,58668,6984831
26,2015,3,3788696,2840203,162663,84530,58976,6935068
27,2015,2,3767821,2756294,150839,82077,59157,6816188
28,2015,1,3756153,2668248,168188,79098,66045,6737732
29,2014,4,3764038,2536219,149682,76984,71573,6598496
30,2014,3,3714764,2569868,155494,85096,70049,6595271
31,2014,2,3708882,2461670,149363,72405,72148,6464468
32,2014,1,3697066,2407330,150323,70749,72930,6398398
